dbn,school_name,internal_school_id,num_test_takers,reading_score,math_score,writing_score,pct_students_tested,academic_tier_rating
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,292563,375.0,461.0,514.0,455.0,85.0,1.0
04M495,PARK EAST HIGH SCHOOL,671970,51.0,373.0,379.0,376.0,,2.0
04M555,CENTRAL PARK EAST HIGH SCHOOL,970677,73.0,405.0,421.0,395.0,78.0,2.0
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,880781,70.0,432.0,446.0,448.0,92.0,1.0
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,968745,48.0,369.0,369.0,357.0,92.0,2.0
04M680,"HERITAGE SCHOOL, THE",141965,31.0,358.0,351.0,345.0,78.0,3.0
05M285,HARLEM RENAISSANCE HIGH SCHOOL,737575,29.0,357.0,318.0,333.0,92.0,3.0
05M304,MOTT HALL HIGH SCHOOL,296405,54.0,413.0,399.0,398.0,78.0,2.0
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,680647,33.0,354.0,366.0,342.0,78.0,3.0
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,442306,56.0,360.0,353.0,364.0,85.0,3.0
05M469,CHOIR ACADEMY OF HARLEM,594021,20.0,354.0,360.0,385.0,85.0,4.0
05M499,FREDERICK DOUGLASS ACADEMY,813534,214.0,458.0,474.0,442.0,92.0,1.0
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,530977,66.0,396.0,402.0,404.0,92.0,3.0
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,371377,61.0,369.0,361.0,355.0,,
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",302370,101.0,605.0,654.0,588.0,78.0,1.0
06M293,CITY COLLEGE ACADEMY OF THE ARTS,604767,60.0,408.0,446.0,416.0,,3.0
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,654733,55.0,362.0,376.0,367.0,,2.0
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,339162,70.0,380.0,395.0,399.0,78.0,1.0
06M457,GEORGE WASHINGTON YABC,381754,7.0,394.0,357.0,346.0,92.0,4.0
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,933430,76.0,365.0,384.0,378.0,,
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,131970,63.0,369.0,380.0,349.0,92.0,3.0
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,344969,94.0,363.0,378.0,361.0,78.0,2.0
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,842071,24.0,400.0,422.0,402.0,78.0,1.0
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,547675,228.0,430.0,456.0,423.0,78.0,3.0
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,603045,56.0,339.0,349.0,326.0,78.0,2.0
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,277389,65.0,364.0,378.0,348.0,92.0,
07X321,CROTONA ACADEMY HIGH SCHOOL,821462,9.0,379.0,364.0,382.0,92.0,4.0
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,791798,34.0,310.0,324.0,311.0,85.0,4.0
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,460390,43.0,361.0,359.0,357.0,92.0,1.0
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,922114,63.0,351.0,375.0,371.0,78.0,1.0
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,913548,79.0,403.0,394.0,404.0,85.0,3.0
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,852272,66.0,420.0,426.0,411.0,85.0,2.0
